INFO  - 2019-02-04 09:19:15.138; com.oracle.bowling.game.BowlingScoreCalculator; Updating Score for Frame:4
INFO  - 2019-02-04 09:19:15.139; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 4, Ball:2
INFO  - 2019-02-04 09:19:15.139; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 5, Ball:1
INFO  - 2019-02-04 09:19:15.139; com.oracle.bowling.game.BowlingScoreCalculator; Updating Score for Frame:5
INFO  - 2019-02-04 09:19:15.140; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 6, Ball:1
INFO  - 2019-02-04 09:19:15.140; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 6, Ball:2
INFO  - 2019-02-04 09:19:15.140; com.oracle.bowling.game.BowlingScoreCalculator; Updating Score for Frame:6
INFO  - 2019-02-04 09:19:15.141; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 7, Ball:1
INFO  - 2019-02-04 09:19:15.141; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 7, Ball:2
INFO  - 2019-02-04 09:19:15.141; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 8, Ball:1
INFO  - 2019-02-04 09:19:15.142; com.oracle.bowling.game.BowlingScoreCalculator; Updating Score for Frame:8
INFO  - 2019-02-04 09:19:15.142; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 8, Ball:2
INFO  - 2019-02-04 09:19:15.142; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 9, Ball:1
INFO  - 2019-02-04 09:19:15.143; com.oracle.bowling.game.BowlingScoreCalculator; Updating Score for Frame:9
INFO  - 2019-02-04 09:19:15.143; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 10, Ball:1
INFO  - 2019-02-04 09:19:15.143; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 10, Ball:2
INFO  - 2019-02-04 09:19:15.144; com.oracle.bowling.game.BowlingScoreCalculator; Updating Score for Frame:10
INFO  - 2019-02-04 09:19:15.144; com.oracle.bowling.game.BowlingScoreCalculator; Updating Score for Last Frame:10
INFO  - 2019-02-04 09:19:15.144; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 10, Ball:3
INFO  - 2019-02-04 09:19:15.145; com.oracle.bowling.game.BowlingScoreCalculator; Updating Score for Last Frame:10
INFO  - 2019-02-04 09:19:15.147; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 1, Ball:1
INFO  - 2019-02-04 09:19:15.147; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 2, Ball:1
INFO  - 2019-02-04 09:19:15.147; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 3, Ball:1
INFO  - 2019-02-04 09:19:15.148; com.oracle.bowling.game.BowlingScoreCalculator; Updating Score for Frame:3
INFO  - 2019-02-04 09:19:15.148; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 4, Ball:1
